ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-18T07:26:59.656Z,12:57,s2,1,1789716418499,1789716419513,1789716419583,70,hit,1789716419585,1789716419656,71,1157,ok
2026-09-18T07:26:59.715Z,12:57,s1,1,1789716418499,1789716419572,1789716419643,71,hit,1789716419643,1789716419714,71,1215,ok
2026-09-18T07:26:59.857Z,12:57,s1,1,1789716418499,1789716419715,1789716419786,71,hit,1789716419786,1789716419857,71,1358,ok
2026-09-18T07:27:59.673Z,12:58,s1,1,1789716478500,1789716479530,1789716479601,71,hit,1789716479602,1789716479673,71,1173,ok
2026-09-18T07:27:59.707Z,12:58,s2,1,1789716478500,1789716479565,1789716479636,71,hit,1789716479636,1789716479707,71,1207,ok
2026-09-18T07:27:59.815Z,12:58,s1,1,1789716478500,1789716479674,1789716479744,70,hit,1789716479744,1789716479815,71,1315,ok
2026-09-18T07:28:59.672Z,12:59,s1,1,1789716538500,1789716539530,1789716539600,70,hit,1789716539601,1789716539672,71,1172,ok
2026-09-18T07:28:59.707Z,12:59,s2,1,1789716538500,1789716539565,1789716539636,71,hit,1789716539636,1789716539707,71,1207,ok
2026-09-18T07:28:59.814Z,12:59,s1,1,1789716538500,1789716539673,1789716539743,70,hit,1789716539743,1789716539814,71,1314,ok
2026-09-18T07:30:59.656Z,13:01,s2,1,1789716658500,1789716659512,1789716659583,71,hit,1789716659584,1789716659655,71,1155,ok
2026-09-18T07:30:59.706Z,13:01,s1,1,1789716658500,1789716659565,1789716659635,70,hit,1789716659635,1789716659705,70,1205,ok
2026-09-18T07:30:59.848Z,13:01,s1,1,1789716658500,1789716659706,1789716659777,71,hit,1789716659777,1789716659848,71,1348,ok
2026-09-18T07:31:59.654Z,13:02,s2,1,1789716718500,1789716719512,1789716719582,70,hit,1789716719583,1789716719654,71,1154,ok
2026-09-18T07:31:59.716Z,13:02,s1,1,1789716718500,1789716719574,1789716719645,71,hit,1789716719645,1789716719716,71,1216,ok
2026-09-18T07:31:59.858Z,13:02,s1,1,1789716718500,1789716719716,1789716719787,71,hit,1789716719787,1789716719858,71,1358,ok
2026-09-18T07:32:59.654Z,13:03,s2,1,1789716778500,1789716779512,1789716779582,70,hit,1789716779583,1789716779654,71,1154,ok
2026-09-18T07:32:59.719Z,13:03,s1,1,1789716778500,1789716779578,1789716779648,70,hit,1789716779648,1789716779719,71,1219,ok
2026-09-18T07:32:59.861Z,13:03,s1,1,1789716778500,1789716779719,1789716779790,71,hit,1789716779790,1789716779861,71,1361,ok
2026-09-18T07:33:59.654Z,13:04,s2,1,1789716838500,1789716839512,1789716839583,71,hit,1789716839583,1789716839654,71,1154,ok
2026-09-18T07:33:59.718Z,13:04,s1,1,1789716838500,1789716839576,1789716839647,71,hit,1789716839647,1789716839718,71,1218,ok
2026-09-18T07:33:59.859Z,13:04,s1,1,1789716838500,1789716839719,1789716839789,70,hit,1789716839789,1789716839859,70,1359,ok
2026-09-18T07:35:59.722Z,13:06,s1,1,1789716958500,1789716959578,1789716959649,71,hit,1789716959650,1789716959722,72,1222,ok
2026-09-18T07:35:59.724Z,13:06,s2,1,1789716958500,1789716959581,1789716959652,71,hit,1789716959652,1789716959723,71,1223,ok
2026-09-18T07:35:59.865Z,13:06,s1,1,1789716958500,1789716959723,1789716959794,71,hit,1789716959794,1789716959865,71,1365,ok
2026-09-18T07:36:59.686Z,13:07,s1,1,1789717018500,1789717019544,1789717019614,70,hit,1789717019614,1789717019686,72,1186,ok
2026-09-18T07:36:59.720Z,13:07,s2,1,1789717018500,1789717019579,1789717019649,70,hit,1789717019650,1789717019720,70,1220,ok
2026-09-18T07:36:59.827Z,13:07,s1,1,1789717018500,1789717019687,1789717019756,69,hit,1789717019756,1789717019827,71,1327,ok
2026-09-18T07:37:59.675Z,13:08,s1,1,1789717078499,1789717079534,1789717079604,70,hit,1789717079605,1789717079675,70,1176,ok
2026-09-18T07:37:59.710Z,13:08,s2,1,1789717078499,1789717079569,1789717079639,70,hit,1789717079639,1789717079710,71,1211,ok
